source_folder,repo_path,category,animations
japan_kappa_kappa_river_imp_green,entities/japan_kappa.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
Japanese_kitsune_fox_spirit_white,entities/japan_kitsune.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
japan_oni_fierce_oni_ogre_muscular,entities/japan_oni.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
japan_onibi_floating_ghostly_will-o-wisp_flame+japan_onibi_a_floating_ghostly,entities/japan_onibi.png,enemy,idle:9f;walk:9f;death:9f
japan_orochi_Yamata-no-Orochi_eight-headed_serpent,entities/japan_orochi.png,boss,idle:9f;walk:9f;attack:9f;death:9f;eight_head_volley:9f;sake_flood:FALLBACK;kusanagi_cut:FALLBACK
japan_tengu_tengu_yokai_red-faced_long-nosed,entities/japan_tengu.png,miniboss,idle:9f;walk:9f;attack:9f;death:9f;wind_slash:9f;feather_storm:9f
norse_draugr_undead_viking_warrior_rotting,entities/norse_draugr.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
Fenrir_the_giant_wolf_boss+Fenrir_the_giant_wolf_monstrous,entities/norse_fenrir.png,boss,idle:9f;walk:9f;attack:9f;death:9f;pack_howl:9f;frost_bite_dash:9f;gleipnir_snap:9f
norse_helhound_black_hellhound_wolf_lean,entities/norse_helhound.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
norse_jotunn_hulking_frost_giant_pale,entities/norse_jotunn.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
norse_troll_massive_mountain_troll_brute,entities/norse_troll.png,miniboss,idle:9f;walk:9f;attack:9f;death:9f;rock_throw:9f;quake_slam:9f
Norse_ulfhednar_wolf-warrior_berserker_viking,entities/norse_ulfhednar.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
Greek_archer_huntress_hero_white,entities/player_char_hunter.png,player,idle:8f;walk:6f;attack:9f;death:7f
Greek_assassin_rogue_hero_dark,entities/player_char_swift.png,player,idle:8f;walk:6f;attack:9f;death:7f
Greek_champion_warrior_hero_bronze,entities/player_char_warrior.png,player,idle:8f;walk:6f;attack:9f;death:7f
Huitzilopochtli_Aztec_god_of_war,portraits/aztec_huitzilopochtli.png,portrait,
Mictlantecuhtli_Aztec_god_of_death,portraits/aztec_mictlantecuhtli.png,portrait,
Quetzalcoatl_Aztec_feathered_serpent_god,portraits/aztec_quetzalcoatl.png,portrait,
Tezcatlipoca_Aztec_god_of_night,portraits/aztec_tezcatlipoca.png,portrait,
Tlaloc_Aztec_god_of_rain,portraits/aztec_tlaloc.png,portrait,
Xochipilli_Aztec_god_of_flowers,portraits/aztec_xochipilli.png,portrait,
Acintya_supreme_god_of_Balinese,portraits/bali_acintya.png,portrait,
Barong_Balinese_lion-like_guardian_spirit,portraits/bali_barong.png,portrait,
Batara_Kala_Balinese_demon_god,portraits/bali_batara_kala.png,portrait,
Dewi_Danu_Balinese_goddess_of,portraits/bali_dewi_danu.png,portrait,
Dewi_Sri_Balinese_goddess_of,portraits/bali_dewi_sri.png,portrait,
Anubis_Egyptian_god_of_the,portraits/egypt_anubis.png,portrait,
Horus_Egyptian_sky_god_falcon,portraits/egypt_horus.png,portrait,
Osiris_Egyptian_god_of_the,portraits/egypt_osiris.png,portrait,
Ra_Egyptian_sun_god_falcon,portraits/egypt_ra.png,portrait,
Sekhmet_Egyptian_warrior_goddess_lioness,portraits/egypt_sekhmet.png,portrait,
Set_Egyptian_god_of_chaos,portraits/egypt_set.png,portrait,
Ares_Greek_god_of_war,portraits/greece_ares.png,portrait,
Hermes_Greek_god_of_speed,portraits/greece_hermes.png,portrait,
Zeus_Greek_god_of_thunder,portraits/greece_zeus.png,portrait,
Amaterasu_Japanese_sun_goddess_radiant,portraits/japan_amaterasu.png,portrait,
Fujin_Japanese_wind_god_green-skinned,portraits/japan_fujin.png,portrait,
Inari_Japanese_fox_deity_of,portraits/japan_inari.png,portrait,
Raijin_Japanese_thunder_god_fearsome,portraits/japan_raijin.png,portrait,
Susanoo_Japanese_god_of_storms,portraits/japan_susanoo.png,portrait,
Tsukuyomi_Japanese_moon_god_elegant,portraits/japan_tsukuyomi.png,portrait,
ferryman_of_the_dead_hooded,portraits/narrator.png,portrait(narrator),
Freyja_Norse_goddess_of_love,portraits/norse_freyja.png,portrait,
Heimdall_Norse_guardian_god_of,portraits/norse_heimdall.png,portrait,
Loki_Norse_trickster_god_slender,portraits/norse_loki.png,portrait,
Odin_Norse_allfather_god_old,portraits/norse_odin.png,portrait,
Thor_Norse_god_of_thunder,portraits/norse_thor.png,portrait,
Tyr_Norse_god_of_war,portraits/norse_tyr.png,portrait,
a_bronze_flaming_brazier_on_a,props/greece_brazier.png,prop,
a_broken_marble_column_ruin_ly,props/greece_broken_column.png,prop,
a_tall_white_marble_Greek_colu,props/greece_column.png,prop,
a_stack_of_ancient_scrolls_and,props/greece_scrolls.png,prop,
a_white_marble_statue_of_a_Gre,props/greece_statue.png,prop,
Ancient_Greek_temple_props_pi,props/greece_temple_prop_01.png,prop(extra),
Ancient_Greek_temple_props_pi_10,props/greece_temple_prop_02.png,prop(extra),
Ancient_Greek_temple_props_pi_2,props/greece_temple_prop_03.png,prop(extra),
Ancient_Greek_temple_props_pi_3,props/greece_temple_prop_04.png,prop(extra),
Ancient_Greek_temple_props_pi_4,props/greece_temple_prop_05.png,prop(extra),
Ancient_Greek_temple_props_pi_5,props/greece_temple_prop_06.png,prop(extra),
Ancient_Greek_temple_props_pi_6,props/greece_temple_prop_07.png,prop(extra),
Ancient_Greek_temple_props_pi_7,props/greece_temple_prop_08.png,prop(extra),
Ancient_Greek_temple_props_pi_8,props/greece_temple_prop_09.png,prop(extra),
Ancient_Greek_temple_props_pi_9,props/greece_temple_prop_10.png,prop(extra),
a_Greek_amphora_vase_with_pain,props/greece_vase.png,prop,
